,energy,atten_length,trans_fract,atten_fract,distribution
722,36200,0.2640736610011155,0.02266752052980925,0.9773324794701908,1038925.4173246315
723,36250,0.26510409887851893,0.023003632847340905,0.9769963671526591,1038925.4173246315
724,36300,0.26613706186600355,0.023342900506115937,0.976657099493884,1038925.4173246315
725,36350,0.2671725518295137,0.023685328809112394,0.9763146711908877,1038925.4173246315
726,36400,0.2682105706273807,0.024030922830088043,0.975969077169912,1037036.0800589289
727,36450,0.26925112011030733,0.024379687413722262,0.9756203125862777,1012632.1403769043
728,36500,0.2702942021213551,0.024731627175801206,0.9752683728241988,988228.2006948831
729,36550,0.27133981849593597,0.025086746503447,0.974913253496553,963824.2610128584
730,36600,0.27238797106178997,0.025445049555383452,0.9745549504446166,939420.3213308372
731,36650,0.2734386616389873,0.025806540262251525,0.9741934597377485,915016.3816488124
732,36700,0.27449189203990115,0.026171222326955026,0.973828777673045,913284.4891552498
733,36750,0.27554766406920533,0.026539099225054867,0.9734609007749452,913284.4891552498
734,36800,0.2766059795238601,0.02691017420519871,0.9730898257948013,913284.4891552498
735,36850,0.2776668401930932,0.027284450289587567,0.9727155497104124,913284.4891552498
736,36900,0.2787302478584008,0.027661930274487736,0.9723380697255123,913284.4891552498
737,36950,0.27979620429352037,0.028042616730770527,0.9719573832692294,893951.6447959323
738,37000,0.28086471126442963,0.02842651200449808,0.9715734879955019,869186.430947215
739,37050,0.2819357705293309,0.028813618217540585,0.9711863817824594,844421.2170985013
740,37100,0.28300938383863755,0.029203937268230236,0.9707960627317698,819656.0032497839
741,37150,0.2840855529349638,0.029597470832051418,0.9704025291679486,794890.7894010701
742,37200,0.2851642795531099,0.02999422036236408,0.9700057796376359,785783.58172767
743,37250,0.2862455654200586,0.030394187091165214,0.9696058129088347,785783.58172767
744,37300,0.2873294122549496,0.03079737202987592,0.9692026279701241,785783.58172767
745,37350,0.2884158217690814,0.03120377597017115,0.9687962240298289,785783.58172767
746,37400,0.28950479566589193,0.03161339948483414,0.9683866005151659,785783.58172767
747,37450,0.2905963356409466,0.03202624292864519,0.9679737570713548,773570.1045890587
